sneaker_name,brand,sneaker_image,retail_price,url
Nike Air Max 1 Ultra Moire Gym Red,Nike,https://images.stockx.com/images/Nike-Air-Max-1-Ultra-Moire-Gym-Red.jpg?fit=fill&bg=FFFFFF&w=576&h=384&q=60&dpr=1&trim=color&updated_at=1615417669,110.00,https://stockx.com/air-max-1-ultra-moire-gym-red
Nike Air Max 1 White Midnight Navy,Nike,https://images.stockx.com/images/Nike-Air-Max-1-White-Midnight-Navy.jpg?fit=fill&bg=FFFFFF&w=576&h=384&q=60&dpr=1&trim=color&updated_at=1617711711,110.00,https://stockx.com/air-max-1-white-midnight-navy
Nike Air Max 1 Apollo Lunar Pack Black,Nike,https://images.stockx.com/images/Nike-Air-Max-1-Apollo-Lunar-Pack-Black.jpg?fit=fill&bg=FFFFFF&w=576&h=384&q=60&dpr=1&trim=color&updated_at=1617711964,,https://stockx.com/air-max-1-apollo-lunar-pack-black
Nike Air Max 1 FB Obsidian,Nike,https://images.stockx.com/images/Nike-Air-Max-1-FB-Obsidian.jpg?fit=fill&bg=FFFFFF&w=576&h=384&q=60&dpr=1&trim=color&updated_at=1617711101,,https://stockx.com/air-max-1-fb-obsidian
Nike Air Max 1 Gorge Green,Nike,https://images.stockx.com/images/Nike-Air-Max-1-Gorge-Green.jpg?fit=fill&bg=FFFFFF&w=576&h=384&q=60&dpr=1&trim=color&updated_at=1617711563,110.00,https://stockx.com/air-max-1-gorge-green
Nike Air Max 1 Crimson Bliss (Womens),Nike,https://images.stockx.com/images/Nike-Air-Max-1-Crimson-Bliss-W.png?fit=fill&bg=FFFFFF&w=576&h=384&q=60&dpr=1&trim=color&updated_at=1617713818,130.00,https://stockx.com/nike-air-max-1-crimson-bliss-w
Nike Air Max 1 Ultra 2.0 Essential Industrial Blue,Nike,https://images.stockx.com/images/Nike-Air-Max-1-Ultra-2pt0-Essential-Industrial-Blue.jpg?fit=fill&bg=FFFFFF&w=576&h=384&q=60&dpr=1&trim=color&updated_at=1617711664,120.00,https://stockx.com/nike-air-max-1-ultra-2pt0-essential-industrial-blue
Nike Air Max 1 Satin Blue Nebula,Nike,https://images.stockx.com/360/Nike-Air-Max-1-Satin-Blue-Nebula/Images/Nike-Air-Max-1-Satin-Blue-Nebula/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1677658934&h=384,120.00,https://stockx.com/nike-air-max-1-satin-blue-nebula
Nike Air Max 1 Anthracite (Womens),Nike,https://images.stockx.com/images/Nike-Air-Max-1-Anthracite-W.png?fit=fill&bg=FFFFFF&w=576&h=384&q=60&dpr=1&trim=color&updated_at=1617714158,140.00,https://stockx.com/nike-air-max-1-anthracite-w
Nike Air Max 1 Jcrd Pure Platinum White-Black (Womens),Nike,https://images.stockx.com/images/Nike-Air-Max-1-Jcrd-Pure-Platinum-White-Black-W.jpg?fit=fill&bg=FFFFFF&w=576&h=384&q=60&dpr=1&trim=color&updated_at=1617712944,,https://stockx.com/nike-air-max-1-jcrd-pure-platinum-white-black-w
Nike Air Max 1 Black Reflective Heel,Nike,https://images.stockx.com/images/Nike-Air-Max-1-Black-Reflective-Heel.png?fit=fill&bg=FFFFFF&w=576&h=384&q=60&dpr=1&trim=color&updated_at=1617711507,110.00,https://stockx.com/nike-air-max-1-black-reflective-heel
Nike Air Max 1 Ultra 2.0 Si Cool Grey Black-Light Bone (Womens),Nike,https://images.stockx.com/images/Nike-Air-Max-1-Ultra-2pt0-Si-Cool-Grey-Black-Light-Bone-W.jpg?fit=fill&bg=FFFFFF&w=576&h=384&q=60&dpr=1&trim=color&updated_at=1617712942,,https://stockx.com/nike-air-max-1-ultra-2pt0-si-cool-grey-black-light-bone-w
Nike Air Max 1 Ultra Essential Black/Cool Grey-Wolf Grey,Nike,https://images.stockx.com/images/Nike-Air-Max-1-Ultra-Essential-Black-Cool-Grey-Wolf-Grey.jpg?fit=fill&bg=FFFFFF&w=576&h=384&q=60&dpr=1&trim=color&updated_at=1617711661,,https://stockx.com/nike-air-max-1-ultra-essential-black-cool-grey-wolf-grey
Nike Air Max 1 Mid Sneakerboot Black/Black-Gum Medium Brown (Womens),Nike,https://images.stockx.com/images/Nike-Air-Max-1-Mid-Sneakerboot-Black-Black-Gum-Medium-Brown-W.jpg?fit=fill&bg=FFFFFF&w=576&h=384&q=60&dpr=1&trim=color&updated_at=1617712972,,https://stockx.com/nike-air-max-1-mid-sneakerboot-black-black-gum-medium-brown-w
